,tpr,fpr,taus
181,1.0,0.9999999997883263,0.362
182,1.0,0.9999999996238003,0.364
183,1.0,0.9999999993367242,0.366
184,1.0,0.9999999988398989,0.368
185,1.0,0.9999999979870834,0.37
186,1.0,0.9999999965351353,0.372
187,1.0,0.9999999940832971,0.374
188,1.0,0.9999999899767467,0.376
189,1.0,0.9999999831548182,0.378
190,1.0,0.9999999719144167,0.38
191,1.0,0.9999999535447556,0.382
192,1.0,0.9999999237688398,0.384
193,1.0,0.9999998758977001,0.386
194,1.0,0.9999997995621097,0.388
195,1.0,0.9999996788293765,0.39
196,1.0,0.9999994894347473,0.392
197,1.0,0.9999991947518377,0.394
198,1.0,0.9999987399869726,0.396
199,1.0,0.9999980438999712,0.398
200,1.0,0.9999969871194241,0.4
201,1.0,0.9999953958241842,0.402
202,1.0,0.9999930191952235,0.404
203,1.0,0.999989498595303,0.406
204,1.0,0.9999843259031312,0.40800000000000003
205,1.0,0.9999767878140795,0.41000000000000003
206,1.0,0.9999658922288024,0.41200000000000003
207,1.0,0.999950272102678,0.41400000000000003
208,1.0,0.9999280613548817,0.41600000000000004
209,1.0,0.9998967366853324,0.418
210,1.0,0.999852918489754,0.42
211,1.0,0.9997921235888225,0.422
212,1.0,0.9997084623105851,0.424
213,1.0,0.9995942727209847,0.426
214,1.0,0.9994396856371203,0.428
215,1.0,0.9992321156424313,0.43
216,1.0,0.9989556758099177,0.432
217,1.0,0.9985905173673046,0.434
218,1.0,0.9981121002061225,0.436
219,1.0,0.9974904059822078,0.438
220,1.0,0.9966891125284923,0.44
221,1.0,0.9956647562417282,0.442
222,1.0,0.9943659177214117,0.444
223,1.0,0.9927324747955296,0.446
224,1.0,0.9906949755804819,0.448
225,1.0,0.988174191672322,0.45
226,1.0,0.9850809171262203,0.452
227,1.0,0.9813160816626013,0.454
228,1.0,0.9767712456572435,0.456
229,1.0,0.9713295391287842,0.458
230,1.0,0.964867096506789,0.46
231,1.0,0.9572550230948935,0.462
232,1.0,0.9483619078463151,0.464
233,1.0,0.9380568707883199,0.466
234,1.0,0.9262131030942432,0.468
235,1.0,0.9127118248219088,0.47000000000000003
236,1.0,0.8974465515828502,0.47200000000000003
237,1.0,0.8803275291087982,0.47400000000000003
238,1.0,0.8612861662992353,0.47600000000000003
239,1.0,0.8402792753736694,0.47800000000000004
240,1.0,0.8172929145610708,0.48
241,1.0,0.7923456262999082,0.482
242,1.0,0.7654908735616099,0.484
