number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_iter_range,params_weight_decay,state
0,0.4479166567325592,2025-01-21 06:58:10.545615,2025-01-21 06:58:33.572710,0 days 00:00:23.027095,0.040939759026114624,3,2.1371531218857145e-06,COMPLETE
1,0.918749988079071,2025-01-21 06:58:33.573232,2025-01-21 06:58:56.295736,0 days 00:00:22.722504,1.871369051006931e-07,4,1.0295189393221457e-05,COMPLETE
